ticker,fixed_cost,break_even_slippage_pct,break_even_slippage_bps
NIFTY,80.0,0.3715780595965795,37.15780595965795
SENSEX,80.0,0.4404662859144622,44.04662859144622
NIFTY,160.0,0.3698111644011607,36.98111644011607
SENSEX,160.0,0.43785982230173687,43.78598223017369
NIFTY,320.0,0.366277374010323,36.627737401032306
SENSEX,320.0,0.43264689507628606,43.26468950762861
