target_spot,strategy_value_points,pnl_rupees
22100.0,182.45500573272247,110.8253726269605
22105.0,182.56294672487863,117.84153711711085
22110.0,182.67155009119472,124.90075592765663
22115.0,182.7808078678503,132.0025114102704
22120.0,182.89071177376746,139.14626529488515
22125.0,183.0012532068136,146.33145844288407
22130.0,183.1124232401425,153.5575106092628
22135.0,183.2242126184627,160.82382020007557
22140.0,183.33661175448276,168.12976404137942
22145.0,183.44961072542844,175.47469715284876
22150.0,183.5631992695482,182.85795252063252
22155.0,183.67736678278308,190.27884088090033
22160.0,183.7921023155515,197.73665051084677
22165.0,183.90739456947063,205.23064701559065
22170.0,184.02323189436535,212.7600731337479
22175.0,184.13960228522492,220.3241485396201
22180.0,184.2564933793869,227.92206966014916
22185.0,184.37389245366518,235.55300948823657
22190.0,184.49178642181332,243.21611741786555
22195.0,184.61016183186962,250.9105190715252
22200.0,184.7290048638265,258.6353161487227
22205.0,184.84830132727956,266.38958627317123
22210.0,184.96803665928698,274.17238285365374
22215.0,185.08819592230148,281.9827349495962
22220.0,185.20876380236234,289.8196471535522
22225.0,185.32972460728197,297.6820994733283
22230.0,185.45106226505072,305.569047228297
22235.0,185.57276032243698,313.4794209584035
22240.0,185.69480194366855,321.41212633845583
22245.0,185.81716990933256,329.3660441066166
22250.0,185.93984661540455,337.34003000129564
22255.0,186.0628140724774,345.33291471103155
22260.0,186.18605390515035,353.34350383477243
22265.0,186.3095473516314,361.37057785604156
22270.0,186.4332752634321,369.41289212308703
22275.0,186.55721810543633,377.4691768533617
22280.0,186.68135595590468,385.53813713380407
22285.0,186.80566850694856,393.61845295165665
22290.0,186.93013506498335,401.70877922391753
22295.0,187.05473455155982,409.8077458513882
22300.0,187.17944550428467,417.9139577785037
22305.0,187.3042460780283,426.0259950718404
22310.0,187.42911404630445,434.14241300978915
22315.0,187.55402680294304,442.26174219129774
22320.0,187.67896136391016,450.3824886541605
22325.0,187.80389436940146,458.503134011095
22330.0,187.92880208617106,466.62213560111894
22335.0,188.0536604101123,474.7379266572986
22340.0,188.1784448690306,482.8489164869899
22345.0,188.30313062571412,490.9534906714177
22350.0,188.42769248124125,499.05001128068136
22355.0,188.55210487851713,507.1368171036133
22360.0,188.6763419060769,515.2122238949994
22365.0,188.80037730219095,523.274524642412
22370.0,188.92418445911585,531.3219898425302
22375.0,189.04773642779475,539.3528678066584
22380.0,189.17100592259612,547.365384968748
22385.0,189.293965326528,555.3577462243197
22390.0,189.41658669659205,563.3281352784832
22395.0,189.5388417694461,571.2747150139961
22400.0,189.6607019673637,579.195627878641
22405.0,189.7821384044246,587.0889962875981
22410.0,189.9031218930561,594.9529230486462
22415.0,190.0236229507335,602.7854917976782
22420.0,190.14361180708784,610.5847674607094
22425.0,190.26305841120188,618.3487967281224
22430.0,190.3819324392382,626.0756085504829
22435.0,190.50020330229233,633.7632146490017
22440.0,190.61784015462217,641.4096100504412
22445.0,190.7348119020363,649.0127736323603
22450.0,190.85108721067536,656.5706686938984
22455.0,190.9666345159651,664.0812435377313
22460.0,191.08142203194177,671.542432076215
22465.0,191.1954177608285,678.9521544538519
22470.0,191.30858950284482,686.3083176849136
22475.0,191.42090486630877,693.6088163100703
22480.0,191.5323312781078,700.8515330770064
22485.0,191.64283599424584,708.0343396259798
22490.0,191.75238611085763,715.1550972057458
22495.0,191.86094857535568,722.2116573981191
22500.0,191.96849019792683,729.2018628652437
22505.0,192.07497766319045,736.1235481073794
22510.0,192.1803775422261,742.9745402446963
22515.0,192.28465630476148,749.7526598094964
22520.0,192.38778033170502,756.4557215608261
22525.0,192.48971592775115,763.0815353038247
22530.0,192.59042933447904,769.6279067411376
22535.0,192.6898867434611,776.0926383249716
22540.0,192.78805430969805,782.4735301303735
22545.0,192.88489816527635,788.768380742963
22550.0,192.9803844332755,794.9749881629077
22555.0,193.07447924177313,801.0911507152537
22560.0,193.16714873822752,807.1146679847891
22565.0,193.25835910389333,813.0433417530662
22570.0,193.3480765685797,818.8749769576805
22575.0,193.43626742546508,824.6073826552299
22580.0,193.52289804617863,830.2383730016106
22585.0,193.6079348960593,835.7657682438548
22590.0,193.6913445494895,841.1873957168166
22595.0,193.77309370550938,846.5010908581098
22600.0,193.85314920350038,851.7046982275247
22605.0,193.93147803899683,856.7960725347939
22610.0,194.00804737970293,861.7730796806904
22615.0,194.08282458159442,866.6335978036375
22620.0,194.15577720508236,871.3755183303533
22625.0,194.22687303140424,875.9967470412755
22630.0,194.29608007899242,880.4952051345072
22635.0,194.3633666199571,884.8688302972118
22640.0,194.42870119672398,889.1155777870586
22645.0,194.49205263861313,893.2334215098535
22650.0,194.5533900785765,897.2203551074733
22655.0,194.61268296993717,901.0743930459159
22660.0,194.6699011031037,904.7935717017413
22665.0,194.72501462245282,908.3759504594332
22670.0,194.77799404306097,911.8196127989631
22675.0,194.8288102675615,915.1226673914971
22680.0,194.8774346029295,918.2832491904173
22685.0,194.9238387772266,921.2995205197285
22690.0,194.96799495637288,924.169672164237
22695.0,195.00987576082161,926.891924453405
22700.0,195.0494542821839,929.4645283419527
22705.0,195.08670409981823,931.8857664881853
22710.0,195.1215992972716,934.1539543226531
22715.0,195.15411447869292,936.2674411150397
22720.0,195.1842247850982,938.2246110313827
22725.0,195.211905910528,940.0238841843202
22730.0,195.2371341180742,941.6637176748236
22735.0,195.259886255752,943.1426066238805
22740.0,195.28013977223873,944.4590851955172
22745.0,195.29787273239708,945.6117276058103
22750.0,195.3130638326911,946.5991491249224
22755.0,195.325692416332,947.4200070615802
22760.0,195.3357384882229,948.0730017344877
22765.0,195.34318272978408,948.5568774359649
22770.0,195.34800651338628,948.8704233701083
22775.0,195.3501919167179,949.0124745866638
22780.0,195.34972173668348,948.981912884426
22785.0,195.3465795032721,948.7776677126863
22790.0,195.3407494929338,948.3987170406976
22795.0,195.33221674181596,947.8440882180371
22800.0,195.32096705862432,947.1128588105807
22805.0,195.30698703713097,946.2041574135128
22810.0,195.29026406844832,945.117164449141
22815.0,195.2707863529199,943.8511129397943
22820.0,195.2485429116109,942.4052892547093
22825.0,195.2235235975554,940.7790338411019
22830.0,195.1957191064671,938.9717419203612
22835.0,195.16512098725525,936.9828641715912
22840.0,195.13172165197466,934.8119073783528
22845.0,195.09551438549533,932.4584350571968
22850.0,195.05649335467842,929.9220680540975
22855.0,195.01465361718965,927.2024851173273
22860.0,194.96999112984122,924.2994234396792
22865.0,194.92250275648985,921.2126791718401
22870.0,194.872186275511,917.9421079082158
22875.0,194.8190403867875,914.487625141187
22880.0,194.76306471824591,910.8492066859844
22885.0,194.70425983191672,907.0268890745865
22890.0,194.64262722949752,903.0207699173388
22895.0,194.57816935742903,898.8310082328871
22900.0,194.51088961149344,894.4578247470736
22905.0,194.44079234089895,889.9015021584319
22910.0,194.3678828518141,885.1623853679166
22915.0,194.29216741045457,880.2408816795469
22920.0,194.2136532455761,875.1374609624463
22925.0,194.13234855053906,869.8526557850391
22930.0,194.04826248469362,864.3870615050855
22935.0,193.96140517439744,858.7413363358337
22940.0,193.8717877133604,852.9162013684254
22945.0,193.77942216250813,846.9124405630282
22950.0,193.6843215492736,840.7309007027834
22955.0,193.58649986642558,834.3724913176629
22960.0,193.48597207015064,827.8381845597914
22965.0,193.3827540778193,821.1290150582545
22970.0,193.2768627650039,814.2460797252534
