leg,future,strike,premium,days_to_expiry,implied_vol,model_price,abs_error
L1_SELL_MONTHLY_ATM_PE,23510.0,23350.0,226.6,34,0.10510457477713583,226.6000000000313,3.129230208287481e-11
L2_BUY_MONTHLY_ATM_MINUS_2_CE,23510.0,23250.0,451.0,34,0.10659886618248285,451.0,0.0
L3_BUY_WEEKLY_ATM_PLUS_2_PE,23436.9,23450.0,179.0,13,0.09765915692537602,178.99999999999636,3.637978807091713e-12
L4_SELL_WEEKLY_ATM_CE,23436.9,23350.0,222.65,13,0.09981088182504683,222.65000000002146,2.1458390619955026e-11
