trades,net_pnl,mean_pnl,win_rate_pct,profit_factor,trade_sharpe,ticker,holdout_block,holdout_start,holdout_end
3,-5002.634999999984,-1667.5449999999946,33.33333333333333,0.27515101065890696,-0.44443658473611514,NIFTY,6,2026-05-06,2026-05-20
4,-2991.37999999996,-747.84499999999,25.0,0.26847263234476576,-0.49186925491494626,SENSEX,6,2026-04-24,2026-05-22
