ticker,test_block_1,test_block_2,purged_blocks,train_trades,test_trades,test_net_pnl,test_mean_pnl,test_win_rate_pct,test_profit_factor,test_trade_sharpe
SENSEX,1,2,"0,1,2,3",14,10,-3286.599999999943,-328.6599999999943,40.0,0.6743017371532021,-0.14150498851577578
SENSEX,1,3,"0,1,2,3,4",9,9,7636.331000000054,848.4812222222282,66.66666666666666,1.8714209925529688,0.258650329566838
SENSEX,1,4,"0,1,2,3,4,5",5,10,5171.580000000071,517.1580000000071,60.0,1.5132317769066728,0.15963197483538585
SENSEX,1,5,"0,1,2,4,5,6",4,9,-14884.844999999907,-1653.8716666666562,33.33333333333333,0.3002195269698034,-0.4414978993399295
SENSEX,1,6,"0,1,2,5,6,7",9,10,-6940.349999999907,-694.0349999999906,40.0,0.5188360301537371,-0.2738865048452006
SENSEX,2,3,"1,2,3,4",9,9,7388.041000000025,820.8934444444471,44.44444444444444,3.4271437131807683,0.36230253249807276
SENSEX,2,4,"1,2,3,4,5",5,10,4923.290000000042,492.32900000000416,40.0,2.129882990674382,0.21040442297913076
SENSEX,2,5,"1,2,3,4,5,6",0,9,-15133.134999999937,-1681.4594444444374,11.11111111111111,0.02690691235231448,-0.5854055457138354
SENSEX,2,6,"1,2,3,5,6,7",5,10,-7188.639999999936,-718.8639999999936,20.0,0.17418750064618915,-0.6223808992220292
SENSEX,3,4,"2,3,4,5",10,9,15846.221000000041,1760.6912222222268,66.66666666666666,6.23065804166977,0.6095936073615333
SENSEX,3,5,"2,3,4,5,6",5,8,-4210.203999999938,-526.2754999999922,37.5,0.7040012868641184,-0.1211149909944468
SENSEX,3,6,"2,3,4,5,6,7",5,9,3734.291000000062,414.9212222222291,44.44444444444444,1.5062021880219827,0.15335566084678184
SENSEX,4,5,"3,4,5,6",10,9,-6674.954999999922,-741.661666666658,33.33333333333333,0.5703872880120545,-0.1812166361102669
SENSEX,4,6,"3,4,5,6,7",10,10,1269.5400000000782,126.95400000000782,40.0,1.1460837386132878,0.047416462944308305
SENSEX,5,6,"4,5,6,7",14,9,-18786.8849999999,-2087.4316666666555,11.11111111111111,0.05521045546004516,-0.7311506380570926
