year_month,trades,net_pnl,mean_pnl,win_rate,min_trade,max_trade,cumulative_pnl,cumulative_roc_pct
2025-10,5,-15849.893749999972,-3169.9787499999943,0.0,-4440.831249999992,-574.2062500000011,-15849.893749999972,-10.566595833333315
2025-11,3,-10760.081249999987,-3586.6937499999954,33.33333333333333,-7665.887499999996,2961.781250000005,-26609.97499999996,-17.739983333333306
2025-12,5,-5847.089249999954,-1169.4178499999907,60.0,-5603.852499999988,2259.157000000008,-32457.064249999912,-21.638042833333273
2026-01,4,980.6482500000143,245.16206250000357,50.0,-1161.3412499999977,1863.7587499999968,-31476.4159999999,-20.984277333333264
2026-02,4,-775.7037499999847,-193.92593749999617,50.0,-2196.9374999999964,1941.5474999999983,-32252.119749999885,-21.50141316666659
2026-03,4,-9091.251249999972,-2272.812812499993,25.0,-6836.913749999995,48.66625000000204,-41343.370999999854,-27.562247333333232
2026-04,5,-2909.574999999945,-581.9149999999889,40.0,-5399.568749999987,4375.358750000022,-44252.9459999998,-29.501963999999862
2026-05,3,-569.6349999999802,-189.87833333332674,33.33333333333333,-4243.511249999996,3935.0000000000073,-44822.58099999978,-29.881720666666524
