year_month,trades,net_pnl,mean_pnl,win_rate,min_trade,max_trade,cumulative_pnl,cumulative_roc_pct
2025-10,4,-7112.905000000001,-1778.2262500000002,25.0,-4758.73,3097.2049999999963,-7112.905000000001,-4.741936666666667
2025-11,4,-298.19999999997003,-74.54999999999251,25.0,-1164.014999999987,1427.7500000000073,-7411.1049999999705,-4.9407366666666475
2025-12,4,-9961.983999999986,-2490.4959999999965,0.0,-7278.054999999996,-12.434000000001106,-17373.088999999956,-11.582059333333303
2026-01,3,-7485.959999999993,-2495.3199999999974,0.0,-3770.309999999994,-641.5349999999971,-24859.048999999948,-16.5726993333333
2026-02,4,-12309.729999999989,-3077.432499999997,25.0,-8329.489999999994,736.0800000000036,-37168.77899999994,-24.77918599999996
2026-03,3,-1651.0549999999748,-550.3516666666583,33.33333333333333,-1066.3399999999856,114.12500000000728,-38819.833999999915,-25.879889333333278
2026-04,3,7752.280000000021,2584.09333333334,66.66666666666666,-377.2699999999932,7237.365000000007,-31067.553999999895,-20.711702666666596
2026-05,3,-2358.109999999993,-786.0366666666642,33.33333333333333,-3200.154999999995,1152.055000000004,-33425.66399999989,-22.283775999999925
