leg,side,option_type,observations,net_pnl,mean_pnl,median_pnl,win_rate
L1,BUY,PE,30,1634.2550000000356,54.47516666666785,-5972.834999999999,40.0
L2,SELL,PE,32,-11554.674999999968,-361.083593749999,4746.04,65.625
L3,BUY,CE,32,-108140.75499999995,-3379.3985937499983,-9924.8925,31.25
L4,SELL,CE,29,116852.076,4029.381931034483,10290.55,72.41379310344827
