ticker,scheduled_entry_date,entry_date,weekly_expiry,monthly_expiry,spot,spot_timestamp,atm_strike,spot_available,skip_reason,gross_pnl,fixed_cost,net_pnl,legs_completed,equity,drawdown,drawdown_pct,year_month
NIFTY,2025-10-01,2025-10-01,2025-10-07,2025-10-28,24659.95,2025-10-01 09:30:00+05:30,24650.0,True,,-3479.174999999996,160.0,-3639.174999999996,4,146360.825,0.0,0.0,2025-10
NIFTY,2025-10-08,2025-10-08,2025-10-14,2025-10-28,25167.6,2025-10-08 09:30:00+05:30,25150.0,True,,-4280.831249999992,160.0,-4440.831249999992,4,141919.99375000002,-4440.831249999988,-0.030341665879513813,2025-10
NIFTY,2025-10-15,2025-10-15,2025-10-20,2025-10-28,25262.25,2025-10-15 09:30:00+05:30,25250.0,True,,-3000.506249999984,160.0,-3160.506249999984,4,138759.48750000002,-7601.337499999994,-0.051935601620173966,2025-10
NIFTY,2025-10-22,2025-10-20,2025-10-28,2025-10-28,25868.9,2025-10-20 09:30:00+05:30,25850.0,True,,-414.2062500000011,160.0,-574.2062500000011,4,138185.28125000003,-8175.5437499999825,-0.055858825269671564,2025-10
NIFTY,2025-10-29,2025-10-29,2025-11-04,2025-11-25,26016.55,2025-10-29 09:30:00+05:30,26000.0,True,,-3875.1749999999993,160.0,-4035.1749999999993,4,134150.10625000004,-12210.71874999997,-0.08342887347075267,2025-10
NIFTY,2025-11-05,2025-11-04,2025-11-11,2025-11-25,25708.1,2025-11-04 09:30:00+05:30,25700.0,True,,-7505.887499999996,160.0,-7665.887499999996,4,126484.21875000003,-19876.606249999983,-0.13580550840704797,2025-11
NIFTY,2025-11-12,2025-11-12,2025-11-18,2025-11-25,25790.25,2025-11-12 09:30:00+05:30,25800.0,True,,3121.781250000005,160.0,2961.781250000005,4,129446.00000000003,-16914.824999999983,-0.11556934719382717,2025-11
NIFTY,2025-11-19,2025-11-19,2025-11-25,2025-11-25,25901.4,2025-11-19 09:30:00+05:30,25900.0,True,,-5895.974999999995,160.0,-6055.974999999995,4,123390.02500000004,-22970.799999999974,-0.15694636867481426,2025-11
NIFTY,2025-12-03,2025-12-03,2025-12-09,2025-12-30,25966.4,2025-12-03 09:30:00+05:30,25950.0,True,,-5443.852499999988,160.0,-5603.852499999988,4,117786.17250000004,-28574.652499999967,-0.1952342951059477,2025-12
NIFTY,2025-12-10,2025-12-10,2025-12-16,2025-12-30,25898.7,2025-12-10 09:30:00+05:30,25900.0,True,,-4649.156249999987,160.0,-4809.156249999987,4,112977.01625000007,-33383.80874999994,-0.2280925155348088,2025-12
NIFTY,2025-12-17,2025-12-17,2025-12-23,2025-12-30,25898.2,2025-12-17 09:30:00+05:30,25900.0,True,,1898.5500000000084,160.0,1738.5500000000084,4,114715.56625000008,-31645.258749999935,-0.21621399544584374,2025-12
NIFTY,2025-12-24,2025-12-24,2025-12-30,2025-12-30,26217.55,2025-12-24 09:30:00+05:30,26200.0,True,,728.2125000000051,160.0,568.2125000000051,4,115283.77875000008,-31077.046249999927,-0.21233172366990916,2025-12
NIFTY,2025-12-31,2025-12-31,2026-01-06,2026-01-27,26012.45,2025-12-31 09:30:00+05:30,26000.0,True,,2419.157000000008,160.0,2259.157000000008,4,117542.93575000009,-28817.88924999992,-0.19689619302159522,2025-12
NIFTY,2026-01-07,2026-01-07,2026-01-13,2026-01-27,26128.95,2026-01-07 09:30:00+05:30,26150.0,True,,48.67200000001321,160.0,-111.3279999999868,4,117431.60775000011,-28929.2172499999,-0.19765683371899478,2026-01
NIFTY,2026-01-14,2026-01-14,2026-01-20,2026-01-27,25744.95,2026-01-14 09:30:00+05:30,25750.0,True,,549.558750000002,160.0,389.558750000002,4,117821.16650000011,-28539.658499999903,-0.1949952010724174,2026-01
NIFTY,2026-01-21,2026-01-21,2026-01-27,2026-01-27,25231.8,2026-01-21 09:30:00+05:30,25250.0,True,,-1001.3412499999976,160.0,-1161.3412499999977,4,116659.82525000011,-29700.9997499999,-0.20292998314268795,2026-01
NIFTY,2026-01-28,2026-01-28,2026-02-03,2026-02-24,25348.75,2026-01-28 09:30:00+05:30,25350.0,True,,2023.7587499999968,160.0,1863.7587499999968,4,118523.5840000001,-27837.240999999907,-0.1901959831122837,2026-01
NIFTY,2026-02-04,2026-02-04,2026-02-10,2026-02-24,25764.7,2026-02-04 09:30:00+05:30,25750.0,True,,2101.5474999999983,160.0,1941.5474999999983,4,120465.1315000001,-25895.693499999907,-0.17693049694137697,2026-02
NIFTY,2026-02-11,2026-02-11,2026-02-17,2026-02-24,25977.2,2026-02-11 09:30:00+05:30,26000.0,True,,-612.5599999999922,160.0,-772.5599999999922,4,119692.57150000011,-26668.253499999904,-0.18220895857890873,2026-02
NIFTY,2026-02-18,2026-02-18,2026-02-24,2026-02-24,25723.65,2026-02-18 09:30:00+05:30,25700.0,True,,412.2462500000056,160.0,252.2462500000056,4,119944.81775000012,-26416.007249999893,-0.18048550389081153,2026-02
NIFTY,2026-02-25,2026-02-25,2026-03-02,2026-03-30,25578.3,2026-02-25 09:30:00+05:30,25600.0,True,,-2036.9374999999964,160.0,-2196.9374999999964,4,117747.88025000012,-28612.944749999893,-0.19549592419966133,2026-02
NIFTY,2026-03-04,2026-03-04,2026-03-10,2026-03-30,24353.55,2026-03-04 09:30:00+05:30,24350.0,True,,-6676.913749999995,160.0,-6836.913749999995,4,110910.96650000013,-35449.858499999886,-0.24220865453580143,2026-03
NIFTY,2026-03-11,2026-03-11,2026-03-17,2026-03-30,24227.25,2026-03-11 09:30:00+05:30,24250.0,True,,-1262.4949999999917,160.0,-1422.4949999999917,4,109488.47150000013,-36872.35349999988,-0.25192775115882193,2026-03
NIFTY,2026-03-18,2026-03-18,2026-03-24,2026-03-30,23732.2,2026-03-18 09:30:00+05:30,23750.0,True,,208.66625000000204,160.0,48.66625000000204,4,109537.13775000014,-36823.68724999987,-0.2515952424427771,2026-03
NIFTY,2026-03-25,2026-03-25,2026-03-30,2026-03-30,23219.5,2026-03-25 09:30:00+05:30,23200.0,True,,-720.5087499999863,160.0,-880.5087499999863,4,108656.62900000015,-37704.195999999865,-0.2576112562907449,2026-03
NIFTY,2026-04-01,2026-04-01,2026-04-07,2026-04-28,22911.45,2026-04-01 09:30:00+05:30,22900.0,True,,4535.358750000022,160.0,4375.358750000022,4,113031.98775000017,-33328.83724999984,-0.2277169266434501,2026-04
NIFTY,2026-04-08,2026-04-08,2026-04-13,2026-04-28,23897.9,2026-04-08 09:30:00+05:30,23900.0,True,,-3173.348749999996,160.0,-3333.348749999996,4,109698.63900000017,-36662.18599999984,-0.25049179655826503,2026-04
NIFTY,2026-04-15,2026-04-15,2026-04-21,2026-04-28,24183.25,2026-04-15 09:30:00+05:30,24200.0,True,,1979.4450000000088,160.0,1819.4450000000088,4,111518.08400000018,-34842.740999999834,-0.2380605670950532,2026-04
NIFTY,2026-04-22,2026-04-22,2026-04-28,2026-04-28,24440.7,2026-04-22 09:30:00+05:30,24450.0,True,,-211.46124999999304,160.0,-371.461249999993,4,111146.62275000018,-35214.20224999983,-0.24059854985102624,2026-04
NIFTY,2026-04-29,2026-04-29,2026-05-05,2026-05-26,24118.2,2026-04-29 09:30:00+05:30,24100.0,True,,-5239.568749999987,160.0,-5399.568749999987,4,105747.05400000021,-40613.770999999804,-0.277490721987935,2026-04
