leg,side,option_type,observations,net_pnl,mean_pnl,median_pnl,win_rate,ticker
L1,BUY,PE,33,115865.64000000004,3511.0800000000013,-2471.9999999999964,42.42424242424242,NIFTY
L2,SELL,PE,34,-133147.86174999995,-3916.1135808823515,3967.675625000002,58.82352941176471,NIFTY
L3,BUY,CE,34,-205473.33674999993,-6043.333433823527,-9923.754999999997,20.588235294117645,NIFTY
L4,SELL,CE,34,180344.34000000008,5304.24529411765,6007.118750000005,73.52941176470588,NIFTY
L1,BUY,PE,30,1634.2550000000356,54.47516666666785,-5972.834999999999,40.0,SENSEX
L2,SELL,PE,32,-11554.674999999968,-361.083593749999,4746.04,65.625,SENSEX
L3,BUY,CE,32,-108140.75499999995,-3379.3985937499983,-9924.8925,31.25,SENSEX
L4,SELL,CE,29,116852.076,4029.381931034483,10290.55,72.41379310344827,SENSEX
