leg,side,option_type,observations,net_pnl,mean_pnl,median_pnl,win_rate
L1,BUY,PE,33,115865.64000000004,3511.0800000000013,-2471.9999999999964,42.42424242424242
L2,SELL,PE,34,-133147.86174999995,-3916.1135808823515,3967.675625000002,58.82352941176471
L3,BUY,CE,34,-205473.33674999993,-6043.333433823527,-9923.754999999997,20.588235294117645
L4,SELL,CE,34,180344.34000000008,5304.24529411765,6007.118750000005,73.52941176470588
