year_month,trades,net_pnl,mean_pnl,win_rate,min_trade,max_trade,cumulative_pnl,cumulative_roc_pct,ticker
2025-10,5,-15849.893749999972,-3169.9787499999943,0.0,-4440.831249999992,-574.2062500000011,-15849.893749999972,-10.566595833333315,NIFTY
2025-11,3,-10760.081249999987,-3586.6937499999954,33.33333333333333,-7665.887499999996,2961.781250000005,-26609.97499999996,-17.739983333333306,NIFTY
2025-12,5,-5847.089249999954,-1169.4178499999907,60.0,-5603.852499999988,2259.157000000008,-32457.064249999912,-21.638042833333273,NIFTY
2026-01,4,980.6482500000143,245.16206250000357,50.0,-1161.3412499999977,1863.7587499999968,-31476.4159999999,-20.984277333333264,NIFTY
2026-02,4,-775.7037499999847,-193.92593749999617,50.0,-2196.9374999999964,1941.5474999999983,-32252.119749999885,-21.50141316666659,NIFTY
2026-03,4,-9091.251249999972,-2272.812812499993,25.0,-6836.913749999995,48.66625000000204,-41343.370999999854,-27.562247333333232,NIFTY
2026-04,5,-2909.574999999945,-581.9149999999889,40.0,-5399.568749999987,4375.358750000022,-44252.9459999998,-29.501963999999862,NIFTY
2026-05,3,-569.6349999999802,-189.87833333332674,33.33333333333333,-4243.511249999996,3935.0000000000073,-44822.58099999978,-29.881720666666524,NIFTY
2025-10,4,-7112.905000000001,-1778.2262500000002,25.0,-4758.73,3097.2049999999963,-7112.905000000001,-4.741936666666667,SENSEX
2025-11,4,-298.19999999997003,-74.54999999999251,25.0,-1164.014999999987,1427.7500000000073,-7411.1049999999705,-4.9407366666666475,SENSEX
2025-12,4,-9961.983999999986,-2490.4959999999965,0.0,-7278.054999999996,-12.434000000001106,-17373.088999999956,-11.582059333333303,SENSEX
2026-01,3,-7485.959999999993,-2495.3199999999974,0.0,-3770.309999999994,-641.5349999999971,-24859.048999999948,-16.5726993333333,SENSEX
2026-02,4,-12309.729999999989,-3077.432499999997,25.0,-8329.489999999994,736.0800000000036,-37168.77899999994,-24.77918599999996,SENSEX
2026-03,3,-1651.0549999999748,-550.3516666666583,33.33333333333333,-1066.3399999999856,114.12500000000728,-38819.833999999915,-25.879889333333278,SENSEX
2026-04,3,7752.280000000021,2584.09333333334,66.66666666666666,-377.2699999999932,7237.365000000007,-31067.553999999895,-20.711702666666596,SENSEX
2026-05,3,-2358.109999999993,-786.0366666666642,33.33333333333333,-3200.154999999995,1152.055000000004,-33425.66399999989,-22.283775999999925,SENSEX
