ticker,leg,side,option_type,expiry,strike,entry_date,exit_date,monthly_expiry,weekly_expiry,scheduled_entry_date,spot,atm_strike,spot_timestamp,entry_available,exit_available,entry_timestamp,entry_close,entry_volume,entry_oi,entry_source,exit_timestamp,exit_close,exit_volume,exit_oi,exit_source,lot_size,entry_exec,exit_exec,leg_pnl
SENSEX,L2,SELL,PE,2025-10-09,81000.0,2025-10-03,2025-10-09,2025-10-29,2025-10-09,2025-10-03,80787.08,80800.0,2025-10-03 09:30:00+05:30,True,True,2025-10-03 09:30:00+05:30,409.1,67780.0,553240.0,upstox_expired,2025-10-09 15:15:00+05:30,0.15,134540.0,2554740.0,upstox_expired,20,407.0545,0.15074999999999997,8138.075
SENSEX,L3,BUY,CE,2025-10-09,80800.0,2025-10-03,2025-10-09,2025-10-29,2025-10-09,2025-10-03,80787.08,80800.0,2025-10-03 09:30:00+05:30,True,True,2025-10-03 09:30:00+05:30,418.6,69520.0,300940.0,upstox_expired,2025-10-09 15:15:00+05:30,1362.05,300.0,20700.0,upstox_expired,20,420.693,1355.23975,18690.934999999998
SENSEX,L2,SELL,PE,2025-10-16,82200.0,2025-10-09,2025-10-16,2025-10-29,2025-10-16,2025-10-10,81993.18,82000.0,2025-10-09 09:30:00+05:30,True,True,2025-10-09 09:30:00+05:30,453.3,600.0,17300.0,upstox_expired,2025-10-16 15:15:00+05:30,0.65,165360.0,1032860.0,upstox_expired,20,451.0335,0.65325,9007.605
SENSEX,L3,BUY,CE,2025-10-16,82000.0,2025-10-09,2025-10-16,2025-10-29,2025-10-16,2025-10-10,81993.18,82000.0,2025-10-09 09:30:00+05:30,True,True,2025-10-09 09:30:00+05:30,467.45,30260.0,316700.0,upstox_expired,2025-10-16 15:15:00+05:30,1451.5,1040.0,361380.0,upstox_expired,20,469.7872499999999,1444.2425,19489.105000000003
SENSEX,L2,SELL,PE,2025-10-23,83700.0,2025-10-17,2025-10-23,2025-10-29,2025-10-23,2025-10-17,83531.01,83500.0,2025-10-17 09:30:00+05:30,True,True,2025-10-17 09:30:00+05:30,432.95,34360.0,73840.0,upstox_expired,2025-10-23 15:15:00+05:30,0.5,218700.0,696160.0,upstox_expired,20,430.78524999999996,0.5025,8605.654999999999
SENSEX,L3,BUY,CE,2025-10-23,83500.0,2025-10-17,2025-10-23,2025-10-29,2025-10-23,2025-10-17,83531.01,83500.0,2025-10-17 09:30:00+05:30,True,True,2025-10-17 09:30:00+05:30,476.85,247280.0,589200.0,upstox_expired,2025-10-23 15:15:00+05:30,1028.55,1700.0,107220.0,upstox_expired,20,479.23425,1023.40725,10883.46
SENSEX,L1,BUY,PE,2025-11-27,84600.0,2025-10-31,2025-11-06,2025-11-27,2025-11-06,2025-10-31,84586.64,84600.0,2025-10-31 09:30:00+05:30,True,True,2025-10-31 09:30:00+05:30,797.45,200.0,1100.0,upstox_expired,2025-11-06 15:15:00+05:30,1263.3,0.0,820.0,upstox_expired,20,801.43725,1256.9835,9110.925000000003
SENSEX,L2,SELL,PE,2025-11-06,84800.0,2025-10-31,2025-11-06,2025-11-27,2025-11-06,2025-10-31,84586.64,84600.0,2025-10-31 09:30:00+05:30,True,True,2025-10-31 09:30:00+05:30,483.5,19100.0,88700.0,upstox_expired,2025-11-06 15:15:00+05:30,1511.05,120.0,39380.0,upstox_expired,20,481.0825,1518.6052499999998,-20750.454999999998
SENSEX,L3,BUY,CE,2025-11-06,84600.0,2025-10-31,2025-11-06,2025-11-27,2025-11-06,2025-10-31,84586.64,84600.0,2025-10-31 09:30:00+05:30,True,True,2025-10-31 09:30:00+05:30,535.0,110640.0,362360.0,upstox_expired,2025-11-06 15:15:00+05:30,0.05,103680.0,835520.0,upstox_expired,20,537.675,0.04975,-10752.505
SENSEX,L4,SELL,CE,2025-11-27,84400.0,2025-10-31,2025-11-06,2025-11-27,2025-11-06,2025-10-31,84586.64,84600.0,2025-10-31 09:30:00+05:30,True,True,2025-10-31 09:30:00+05:30,1448.3,0.0,220.0,upstox_expired,2025-11-06 15:15:00+05:30,548.65,40.0,2700.0,upstox_expired,20,1441.0584999999999,551.39325,17793.304999999997
