ticker,spot_rows,target_cycles,spot_available_cycles,missing_spot_cycles,selected_leg_rows,complete_cycles,source_option_urls,source_spot_url
NIFTY,936,34,34,0,135,33,"[""https://huggingface.co/datasets/rissin/nse-options-intraday/resolve/8f7739cab3f38abdcbc6332a6d0a83e1341326e3/upstox_intraday/NIFTY/NIFTY_2025.parquet"", ""https://huggingface.co/datasets/rissin/nse-options-intraday/resolve/8f7739cab3f38abdcbc6332a6d0a83e1341326e3/upstox_intraday/NIFTY/NIFTY_2026.parquet""]",https://huggingface.co/datasets/thetrademarkk/india-index-options-1m/resolve/904fbfbf7d448e7007cd3dd197849ba561b30c06/index/NIFTY.parquet
SENSEX,936,34,33,1,123,28,"[""https://huggingface.co/datasets/rissin/nse-options-intraday/resolve/8f7739cab3f38abdcbc6332a6d0a83e1341326e3/upstox_intraday/SENSEX/SENSEX_2025.parquet"", ""https://huggingface.co/datasets/rissin/nse-options-intraday/resolve/8f7739cab3f38abdcbc6332a6d0a83e1341326e3/upstox_intraday/SENSEX/SENSEX_2026.parquet""]",https://huggingface.co/datasets/thetrademarkk/india-index-options-1m/resolve/904fbfbf7d448e7007cd3dd197849ba561b30c06/index/SENSEX.parquet
