ticker,scheduled_entry_date,entry_date,weekly_expiry,monthly_expiry,spot,spot_timestamp,atm_strike,spot_available,skip_reason
NIFTY,2025-10-01,2025-10-01,2025-10-07,2025-10-28,24659.95,2025-10-01 09:30:00+05:30,24650.0,True,
NIFTY,2025-10-08,2025-10-08,2025-10-14,2025-10-28,25167.6,2025-10-08 09:30:00+05:30,25150.0,True,
NIFTY,2025-10-15,2025-10-15,2025-10-20,2025-10-28,25262.25,2025-10-15 09:30:00+05:30,25250.0,True,
NIFTY,2025-10-22,2025-10-20,2025-10-28,2025-10-28,25868.9,2025-10-20 09:30:00+05:30,25850.0,True,
NIFTY,2025-10-29,2025-10-29,2025-11-04,2025-11-25,26016.55,2025-10-29 09:30:00+05:30,26000.0,True,
NIFTY,2025-11-05,2025-11-04,2025-11-11,2025-11-25,25708.1,2025-11-04 09:30:00+05:30,25700.0,True,
NIFTY,2025-11-12,2025-11-12,2025-11-18,2025-11-25,25790.25,2025-11-12 09:30:00+05:30,25800.0,True,
NIFTY,2025-11-19,2025-11-19,2025-11-25,2025-11-25,25901.4,2025-11-19 09:30:00+05:30,25900.0,True,
NIFTY,2025-11-26,2025-11-26,2025-12-02,2025-12-30,25991.5,2025-11-26 09:30:00+05:30,26000.0,True,
NIFTY,2025-12-03,2025-12-03,2025-12-09,2025-12-30,25966.4,2025-12-03 09:30:00+05:30,25950.0,True,
NIFTY,2025-12-10,2025-12-10,2025-12-16,2025-12-30,25898.7,2025-12-10 09:30:00+05:30,25900.0,True,
NIFTY,2025-12-17,2025-12-17,2025-12-23,2025-12-30,25898.2,2025-12-17 09:30:00+05:30,25900.0,True,
NIFTY,2025-12-24,2025-12-24,2025-12-30,2025-12-30,26217.55,2025-12-24 09:30:00+05:30,26200.0,True,
NIFTY,2025-12-31,2025-12-31,2026-01-06,2026-01-27,26012.45,2025-12-31 09:30:00+05:30,26000.0,True,
NIFTY,2026-01-07,2026-01-07,2026-01-13,2026-01-27,26128.95,2026-01-07 09:30:00+05:30,26150.0,True,
NIFTY,2026-01-14,2026-01-14,2026-01-20,2026-01-27,25744.95,2026-01-14 09:30:00+05:30,25750.0,True,
NIFTY,2026-01-21,2026-01-21,2026-01-27,2026-01-27,25231.8,2026-01-21 09:30:00+05:30,25250.0,True,
NIFTY,2026-01-28,2026-01-28,2026-02-03,2026-02-24,25348.75,2026-01-28 09:30:00+05:30,25350.0,True,
NIFTY,2026-02-04,2026-02-04,2026-02-10,2026-02-24,25764.7,2026-02-04 09:30:00+05:30,25750.0,True,
NIFTY,2026-02-11,2026-02-11,2026-02-17,2026-02-24,25977.2,2026-02-11 09:30:00+05:30,26000.0,True,
NIFTY,2026-02-18,2026-02-18,2026-02-24,2026-02-24,25723.65,2026-02-18 09:30:00+05:30,25700.0,True,
NIFTY,2026-02-25,2026-02-25,2026-03-02,2026-03-30,25578.3,2026-02-25 09:30:00+05:30,25600.0,True,
NIFTY,2026-03-04,2026-03-04,2026-03-10,2026-03-30,24353.55,2026-03-04 09:30:00+05:30,24350.0,True,
NIFTY,2026-03-11,2026-03-11,2026-03-17,2026-03-30,24227.25,2026-03-11 09:30:00+05:30,24250.0,True,
NIFTY,2026-03-18,2026-03-18,2026-03-24,2026-03-30,23732.2,2026-03-18 09:30:00+05:30,23750.0,True,
NIFTY,2026-03-25,2026-03-25,2026-03-30,2026-03-30,23219.5,2026-03-25 09:30:00+05:30,23200.0,True,
NIFTY,2026-04-01,2026-04-01,2026-04-07,2026-04-28,22911.45,2026-04-01 09:30:00+05:30,22900.0,True,
NIFTY,2026-04-08,2026-04-08,2026-04-13,2026-04-28,23897.9,2026-04-08 09:30:00+05:30,23900.0,True,
NIFTY,2026-04-15,2026-04-15,2026-04-21,2026-04-28,24183.25,2026-04-15 09:30:00+05:30,24200.0,True,
NIFTY,2026-04-22,2026-04-22,2026-04-28,2026-04-28,24440.7,2026-04-22 09:30:00+05:30,24450.0,True,
NIFTY,2026-04-29,2026-04-29,2026-05-05,2026-05-26,24118.2,2026-04-29 09:30:00+05:30,24100.0,True,
NIFTY,2026-05-06,2026-05-06,2026-05-12,2026-05-26,24175.15,2026-05-06 09:30:00+05:30,24200.0,True,
NIFTY,2026-05-13,2026-05-13,2026-05-19,2026-05-26,23385.0,2026-05-13 09:30:00+05:30,23400.0,True,
NIFTY,2026-05-20,2026-05-20,2026-05-26,2026-05-26,23489.05,2026-05-20 09:30:00+05:30,23500.0,True,
