ticker,leg,side,option_type,expiry,strike,entry_date,exit_date,monthly_expiry,weekly_expiry,scheduled_entry_date,spot,atm_strike,spot_timestamp,entry_available,exit_available,entry_timestamp,entry_close,entry_volume,entry_oi,entry_source,exit_timestamp,exit_close,exit_volume,exit_oi,exit_source
SENSEX,L1,BUY,PE,2025-10-29,80800.0,2025-10-03,2025-10-09,2025-10-29,2025-10-09,2025-10-03,80787.08,80800.0,2025-10-03 09:30:00+05:30,False,False,,,,,,,,,,
SENSEX,L2,SELL,PE,2025-10-09,81000.0,2025-10-03,2025-10-09,2025-10-29,2025-10-09,2025-10-03,80787.08,80800.0,2025-10-03 09:30:00+05:30,True,True,2025-10-03 09:30:00+05:30,409.1,67780.0,553240.0,upstox_expired,2025-10-09 15:15:00+05:30,0.15,134540.0,2554740.0,upstox_expired
SENSEX,L3,BUY,CE,2025-10-09,80800.0,2025-10-03,2025-10-09,2025-10-29,2025-10-09,2025-10-03,80787.08,80800.0,2025-10-03 09:30:00+05:30,True,True,2025-10-03 09:30:00+05:30,418.6,69520.0,300940.0,upstox_expired,2025-10-09 15:15:00+05:30,1362.05,300.0,20700.0,upstox_expired
SENSEX,L4,SELL,CE,2025-10-29,80600.0,2025-10-03,2025-10-09,2025-10-29,2025-10-09,2025-10-03,80787.08,80800.0,2025-10-03 09:30:00+05:30,False,False,,,,,,,,,,
SENSEX,L1,BUY,PE,2025-10-29,82000.0,2025-10-09,2025-10-16,2025-10-29,2025-10-16,2025-10-10,81993.18,82000.0,2025-10-09 09:30:00+05:30,False,False,,,,,,,,,,
SENSEX,L2,SELL,PE,2025-10-16,82200.0,2025-10-09,2025-10-16,2025-10-29,2025-10-16,2025-10-10,81993.18,82000.0,2025-10-09 09:30:00+05:30,True,True,2025-10-09 09:30:00+05:30,453.3,600.0,17300.0,upstox_expired,2025-10-16 15:15:00+05:30,0.65,165360.0,1032860.0,upstox_expired
SENSEX,L3,BUY,CE,2025-10-16,82000.0,2025-10-09,2025-10-16,2025-10-29,2025-10-16,2025-10-10,81993.18,82000.0,2025-10-09 09:30:00+05:30,True,True,2025-10-09 09:30:00+05:30,467.45,30260.0,316700.0,upstox_expired,2025-10-16 15:15:00+05:30,1451.5,1040.0,361380.0,upstox_expired
SENSEX,L4,SELL,CE,2025-10-29,81800.0,2025-10-09,2025-10-16,2025-10-29,2025-10-16,2025-10-10,81993.18,82000.0,2025-10-09 09:30:00+05:30,False,False,,,,,,,,,,
SENSEX,L1,BUY,PE,2025-10-29,83500.0,2025-10-17,2025-10-23,2025-10-29,2025-10-23,2025-10-17,83531.01,83500.0,2025-10-17 09:30:00+05:30,False,False,,,,,,,,,,
SENSEX,L2,SELL,PE,2025-10-23,83700.0,2025-10-17,2025-10-23,2025-10-29,2025-10-23,2025-10-17,83531.01,83500.0,2025-10-17 09:30:00+05:30,True,True,2025-10-17 09:30:00+05:30,432.95,34360.0,73840.0,upstox_expired,2025-10-23 15:15:00+05:30,0.5,218700.0,696160.0,upstox_expired
SENSEX,L3,BUY,CE,2025-10-23,83500.0,2025-10-17,2025-10-23,2025-10-29,2025-10-23,2025-10-17,83531.01,83500.0,2025-10-17 09:30:00+05:30,True,True,2025-10-17 09:30:00+05:30,476.85,247280.0,589200.0,upstox_expired,2025-10-23 15:15:00+05:30,1028.55,1700.0,107220.0,upstox_expired
SENSEX,L4,SELL,CE,2025-10-29,83300.0,2025-10-17,2025-10-23,2025-10-29,2025-10-23,2025-10-17,83531.01,83500.0,2025-10-17 09:30:00+05:30,False,False,,,,,,,,,,
SENSEX,L1,BUY,PE,2025-10-29,84500.0,2025-10-24,2025-10-29,2025-10-29,2025-10-29,2025-10-24,84501.84,84500.0,2025-10-24 09:30:00+05:30,False,False,,,,,,,,,,
SENSEX,L2,SELL,PE,2025-10-29,84700.0,2025-10-24,2025-10-29,2025-10-29,2025-10-29,2025-10-24,84501.84,84500.0,2025-10-24 09:30:00+05:30,False,False,,,,,,,,,,
SENSEX,L3,BUY,CE,2025-10-29,84500.0,2025-10-24,2025-10-29,2025-10-29,2025-10-29,2025-10-24,84501.84,84500.0,2025-10-24 09:30:00+05:30,False,False,,,,,,,,,,
SENSEX,L4,SELL,CE,2025-10-29,84300.0,2025-10-24,2025-10-29,2025-10-29,2025-10-29,2025-10-24,84501.84,84500.0,2025-10-24 09:30:00+05:30,False,False,,,,,,,,,,
SENSEX,L1,BUY,PE,2025-11-27,84600.0,2025-10-31,2025-11-06,2025-11-27,2025-11-06,2025-10-31,84586.64,84600.0,2025-10-31 09:30:00+05:30,True,True,2025-10-31 09:30:00+05:30,797.45,200.0,1100.0,upstox_expired,2025-11-06 15:15:00+05:30,1263.3,0.0,820.0,upstox_expired
SENSEX,L2,SELL,PE,2025-11-06,84800.0,2025-10-31,2025-11-06,2025-11-27,2025-11-06,2025-10-31,84586.64,84600.0,2025-10-31 09:30:00+05:30,True,True,2025-10-31 09:30:00+05:30,483.5,19100.0,88700.0,upstox_expired,2025-11-06 15:15:00+05:30,1511.05,120.0,39380.0,upstox_expired
SENSEX,L3,BUY,CE,2025-11-06,84600.0,2025-10-31,2025-11-06,2025-11-27,2025-11-06,2025-10-31,84586.64,84600.0,2025-10-31 09:30:00+05:30,True,True,2025-10-31 09:30:00+05:30,535.0,110640.0,362360.0,upstox_expired,2025-11-06 15:15:00+05:30,0.05,103680.0,835520.0,upstox_expired
SENSEX,L4,SELL,CE,2025-11-27,84400.0,2025-10-31,2025-11-06,2025-11-27,2025-11-06,2025-10-31,84586.64,84600.0,2025-10-31 09:30:00+05:30,True,True,2025-10-31 09:30:00+05:30,1448.3,0.0,220.0,upstox_expired,2025-11-06 15:15:00+05:30,548.65,40.0,2700.0,upstox_expired
SENSEX,L1,BUY,PE,2025-11-27,82700.0,2025-11-07,2025-11-13,2025-11-27,2025-11-13,2025-11-07,82731.84,82700.0,2025-11-07 09:30:00+05:30,True,True,2025-11-07 09:30:00+05:30,669.7,20.0,1280.0,upstox_expired,2025-11-13 15:15:00+05:30,160.3,40.0,2540.0,upstox_expired
SENSEX,L2,SELL,PE,2025-11-13,82900.0,2025-11-07,2025-11-13,2025-11-27,2025-11-13,2025-11-07,82731.84,82700.0,2025-11-07 09:30:00+05:30,True,True,2025-11-07 09:30:00+05:30,475.35,45220.0,198180.0,upstox_expired,2025-11-13 15:15:00+05:30,0.15,176500.0,1004960.0,upstox_expired
SENSEX,L3,BUY,CE,2025-11-13,82700.0,2025-11-07,2025-11-13,2025-11-27,2025-11-13,2025-11-07,82731.84,82700.0,2025-11-07 09:30:00+05:30,True,True,2025-11-07 09:30:00+05:30,525.15,29500.0,123640.0,upstox_expired,2025-11-13 15:15:00+05:30,1803.45,540.0,24660.0,upstox_expired
SENSEX,L4,SELL,CE,2025-11-27,82500.0,2025-11-07,2025-11-13,2025-11-27,2025-11-13,2025-11-07,82731.84,82700.0,2025-11-07 09:30:00+05:30,True,True,2025-11-07 09:30:00+05:30,1250.0,20.0,260.0,upstox_expired,2025-11-13 15:15:00+05:30,2378.4,0.0,780.0,upstox_expired
SENSEX,L1,BUY,PE,2025-11-27,84300.0,2025-11-14,2025-11-20,2025-11-27,2025-11-20,2025-11-14,84293.16,84300.0,2025-11-14 09:30:00+05:30,True,True,2025-11-14 09:30:00+05:30,560.9,520.0,2700.0,upstox_expired,2025-11-20 15:15:00+05:30,101.0,480.0,32940.0,upstox_expired
