ticker,scheduled_entry_date,entry_date,weekly_expiry,monthly_expiry,spot,spot_timestamp,atm_strike
SENSEX,2025-10-03,2025-10-03,2025-10-09,2025-10-29,80787.08,2025-10-03 09:30:00+05:30,80800.0
SENSEX,2025-10-10,2025-10-09,2025-10-16,2025-10-29,81993.18,2025-10-09 09:30:00+05:30,82000.0
SENSEX,2025-10-17,2025-10-17,2025-10-23,2025-10-29,83531.01,2025-10-17 09:30:00+05:30,83500.0
SENSEX,2025-10-24,2025-10-24,2025-10-29,2025-10-29,84501.84,2025-10-24 09:30:00+05:30,84500.0
SENSEX,2025-10-31,2025-10-31,2025-11-06,2025-11-27,84586.64,2025-10-31 09:30:00+05:30,84600.0
SENSEX,2025-11-07,2025-11-07,2025-11-13,2025-11-27,82731.84,2025-11-07 09:30:00+05:30,82700.0
SENSEX,2025-11-14,2025-11-14,2025-11-20,2025-11-27,84293.16,2025-11-14 09:30:00+05:30,84300.0
SENSEX,2025-11-21,2025-11-21,2025-11-27,2025-11-27,85523.83,2025-11-21 09:30:00+05:30,85500.0
SENSEX,2025-11-28,2025-11-28,2025-12-04,2025-12-24,85784.38,2025-11-28 09:30:00+05:30,85800.0
SENSEX,2025-12-05,2025-12-05,2025-12-11,2025-12-24,85244.76,2025-12-05 09:30:00+05:30,85200.0
SENSEX,2025-12-12,2025-12-12,2025-12-18,2025-12-24,85234.93,2025-12-12 09:30:00+05:30,85200.0
SENSEX,2025-12-19,2025-12-19,2025-12-24,2025-12-24,84995.89,2025-12-19 09:30:00+05:30,85000.0
SENSEX,2025-12-26,2025-12-26,2026-01-01,2026-01-29,85344.02,2025-12-26 09:30:00+05:30,85300.0
SENSEX,2026-01-02,2026-01-02,2026-01-08,2026-01-29,85368.57,2026-01-02 09:30:00+05:30,85400.0
SENSEX,2026-01-09,2026-01-09,2026-01-14,2026-01-29,84113.54,2026-01-09 09:30:00+05:30,84100.0
SENSEX,2026-01-16,2026-01-16,2026-01-22,2026-01-29,83643.94,2026-01-16 09:30:00+05:30,83600.0
SENSEX,2026-01-23,2026-01-23,2026-01-29,2026-01-29,82404.22,2026-01-23 09:30:00+05:30,82400.0
SENSEX,2026-01-30,2026-01-30,2026-02-05,2026-02-26,81996.12,2026-01-30 09:30:00+05:30,82000.0
SENSEX,2026-02-06,2026-02-06,2026-02-12,2026-02-26,83101.87,2026-02-06 09:30:00+05:30,83100.0
SENSEX,2026-02-13,2026-02-13,2026-02-19,2026-02-26,82921.27,2026-02-13 09:30:00+05:30,82900.0
SENSEX,2026-02-20,2026-02-20,2026-02-26,2026-02-26,82348.87,2026-02-20 09:30:00+05:30,82300.0
SENSEX,2026-02-27,2026-02-27,2026-03-05,2026-03-25,81897.18,2026-02-27 09:30:00+05:30,81900.0
SENSEX,2026-03-06,2026-03-06,2026-03-12,2026-03-25,79669.59,2026-03-06 09:30:00+05:30,79700.0
SENSEX,2026-03-13,2026-03-13,2026-03-19,2026-03-25,75512.82,2026-03-13 09:30:00+05:30,75500.0
SENSEX,2026-03-20,2026-03-20,2026-03-25,2026-03-25,75083.46,2026-03-20 09:30:00+05:30,75100.0
SENSEX,2026-03-27,2026-03-27,2026-04-02,2026-04-30,74337.59,2026-03-27 09:30:00+05:30,74300.0
SENSEX,2026-04-03,2026-04-02,2026-04-09,2026-04-30,71773.95,2026-04-02 09:30:00+05:30,71800.0
SENSEX,2026-04-10,2026-04-10,2026-04-16,2026-04-30,77154.97,2026-04-10 09:30:00+05:30,77200.0
SENSEX,2026-04-17,2026-04-17,2026-04-23,2026-04-30,78084.96,2026-04-17 09:30:00+05:30,78100.0
SENSEX,2026-04-24,2026-04-24,2026-04-30,2026-04-30,77172.87,2026-04-24 09:30:00+05:30,77200.0
SENSEX,2026-05-01,2026-04-30,2026-05-07,2026-05-27,76517.11,2026-04-30 09:30:00+05:30,76500.0
SENSEX,2026-05-08,2026-05-08,2026-05-14,2026-05-27,77525.32,2026-05-08 09:30:00+05:30,77500.0
SENSEX,2026-05-15,2026-05-15,2026-05-21,2026-05-27,75616.91,2026-05-15 09:30:00+05:30,75600.0
SENSEX,2026-05-22,2026-05-22,2026-05-27,2026-05-27,75546.11,2026-05-22 09:30:00+05:30,75500.0
SENSEX,2026-05-29,2026-05-29,2026-06-04,2026-06-25,75872.93,2026-05-29 09:30:00+05:30,75900.0
SENSEX,2026-06-05,2026-06-05,2026-06-11,2026-06-25,74578.96,2026-06-05 09:30:00+05:30,74600.0
SENSEX,2026-06-12,2026-06-12,2026-06-18,2026-06-25,74726.94,2026-06-12 09:30:00+05:30,74700.0
SENSEX,2026-06-19,2026-06-19,2026-06-25,2026-06-25,76595.84,2026-06-19 09:30:00+05:30,76600.0
