trades,total_net_pnl,roc_pct,win_rate_pct,max_drawdown,max_drawdown_pct,average_profit,average_loss,average_profit_to_abs_loss,expectancy_per_trade,ticker,target_cycles,spot_available_cycles,missing_spot_cycles,selected_legs,complete_cycles
33,-44822.58099999977,-29.881720666666517,36.36363636363637,-44857.282249999815,-30.648421290328077,1846.1068333333394,-3189.326809523802,0.5788390289200188,-1358.2600303030233,NIFTY,34,34,0,135,33
28,-33425.66399999988,-22.283775999999918,25.0,-41917.0389999999,-27.379362673537965,2093.823571428576,-2289.6394761904717,0.9144774071210127,-1193.77371428571,SENSEX,34,33,1,123,28
