ticker,entry_date,weekly_expiry,monthly_expiry,slippage_pct,fixed_cost_per_cycle,gross_pnl,net_pnl,raw_close_pnl_no_slippage
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.0,0.0,3901.0,3901.0,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.0,80.0,3901.0,3821.0,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.0,160.0,3901.0,3741.0,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.0,240.0,3901.0,3661.0,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.0,320.0,3901.0,3581.0,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.25,0.0,3579.102500000001,3579.102500000001,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.25,80.0,3579.102500000001,3499.102500000001,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.25,160.0,3579.102500000001,3419.102500000001,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.25,240.0,3579.102500000001,3339.102500000001,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.25,320.0,3579.102500000001,3259.102500000001,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.5,0.0,3257.2049999999963,3257.2049999999963,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.5,80.0,3257.2049999999963,3177.2049999999963,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.5,160.0,3257.2049999999963,3097.2049999999963,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.5,240.0,3257.2049999999963,3017.2049999999963,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.5,320.0,3257.2049999999963,2937.2049999999963,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.75,0.0,2935.307500000001,2935.307500000001,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.75,80.0,2935.307500000001,2855.307500000001,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.75,160.0,2935.307500000001,2775.307500000001,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.75,240.0,2935.307500000001,2695.307500000001,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,0.75,320.0,2935.307500000001,2615.307500000001,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,1.0,0.0,2613.41,2613.41,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,1.0,80.0,2613.41,2533.41,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,1.0,160.0,2613.41,2453.41,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,1.0,240.0,2613.41,2373.41,3901.0
SENSEX,2025-10-03,2025-10-09,2025-10-30,1.0,320.0,2613.41,2293.41,3901.0
SENSEX,2025-10-17,2025-10-23,2025-10-30,0.0,0.0,-2504.0000000000036,-2504.0000000000036,-2504.0000000000036
SENSEX,2025-10-17,2025-10-23,2025-10-30,0.0,80.0,-2504.0000000000036,-2584.0000000000036,-2504.0000000000036
SENSEX,2025-10-17,2025-10-23,2025-10-30,0.0,160.0,-2504.0000000000036,-2664.0000000000036,-2504.0000000000036
SENSEX,2025-10-17,2025-10-23,2025-10-30,0.0,240.0,-2504.0000000000036,-2744.0000000000036,-2504.0000000000036
SENSEX,2025-10-17,2025-10-23,2025-10-30,0.0,320.0,-2504.0000000000036,-2824.0000000000036,-2504.0000000000036
SENSEX,2025-10-17,2025-10-23,2025-10-30,0.25,0.0,-2757.1399999999994,-2757.1399999999994,-2504.0000000000036
SENSEX,2025-10-17,2025-10-23,2025-10-30,0.25,80.0,-2757.1399999999994,-2837.1399999999994,-2504.0000000000036
SENSEX,2025-10-17,2025-10-23,2025-10-30,0.25,160.0,-2757.1399999999994,-2917.1399999999994,-2504.0000000000036
