ticker,entry_date,spot,log_return,prior_4cycle_vol,vol_regime
SENSEX,2025-10-03,80787.08,,,UNCLASSIFIED
SENSEX,2025-10-10,,,,UNCLASSIFIED
SENSEX,2025-10-17,83531.01,,,UNCLASSIFIED
SENSEX,2025-10-24,84501.84,0.011555369115123781,,UNCLASSIFIED
SENSEX,2025-10-31,84586.64,0.001003025245829292,,UNCLASSIFIED
SENSEX,2025-11-07,82731.84,-0.02217180054002732,,UNCLASSIFIED
SENSEX,2025-11-14,84293.16,0.018696188946059067,,UNCLASSIFIED
SENSEX,2025-11-21,85523.83,0.01449432763378411,0.01784231486874172,HIGH
SENSEX,2025-11-28,85784.38,0.00304188807889183,0.018403779028666904,HIGH
SENSEX,2025-12-05,85244.76,-0.006310290639682137,0.018358010875253017,HIGH
SENSEX,2025-12-12,85234.93,-0.0001153216551585956,0.011326556388442209,LOW
SENSEX,2025-12-19,84995.89,-0.0028084239635806085,0.008723728304730867,LOW
SENSEX,2025-12-26,85344.02,0.004087479965184215,0.00397440647626845,LOW
SENSEX,2026-01-02,85368.57,0.00028761792166953626,0.004389610622311882,LOW
SENSEX,2026-01-09,84113.54,-0.01481044743602844,0.002838083562692131,LOW
SENSEX,2026-01-16,83643.94,-0.00559857273243658,0.008168586796072975,LOW
SENSEX,2026-01-23,82404.22,-0.014932330902199809,0.008230267725438908,LOW
SENSEX,2026-01-30,81996.12,-0.0049647201246934,0.007451164298666299,LOW
SENSEX,2026-02-06,83101.87,0.013395275545043717,0.005542907726207402,LOW
SENSEX,2026-02-13,82921.27,-0.002175601199150279,0.01185742761493981,LOW
SENSEX,2026-02-20,82348.87,-0.006926868806624853,0.011732652201992063,LOW
SENSEX,2026-02-27,81897.18,-0.005500176579074534,0.009249932208464947,LOW
SENSEX,2026-03-06,79669.59,-0.0275766008809466,0.009345866558068013,LOW
SENSEX,2026-03-13,75512.82,-0.053585513985972,0.011527696812383949,LOW
SENSEX,2026-03-20,75083.46,-0.005702148331526047,0.022512048255363654,HIGH
SENSEX,2026-03-27,74337.59,-0.009983549106896916,0.022816990960172708,HIGH
SENSEX,2026-04-02,71773.95,-0.03509514887543652,0.02174999836451876,HIGH
SENSEX,2026-04-10,77154.97,0.07229439984439878,0.02245126753315457,HIGH
SENSEX,2026-04-17,78084.96,0.0119814679819914,0.04645652887534597,HIGH
SENSEX,2026-04-24,77172.87,-0.011749494281326989,0.04588853168377407,HIGH
SENSEX,2026-04-30,76517.11,-0.00853359444106161,0.04615005153212819,HIGH
SENSEX,2026-05-08,77525.32,0.013090216723723458,0.03897494806262676,HIGH
SENSEX,2026-05-15,75616.91,-0.024924657256596205,0.013166238844814486,HIGH
SENSEX,2026-05-22,75546.11,-0.000936737109077157,0.015764741691706153,HIGH
