ticker,block,start,end,trades
NIFTY,1,2025-10-01,2025-11-04,6
NIFTY,2,2025-11-12,2025-12-24,6
NIFTY,3,2025-12-31,2026-02-04,6
NIFTY,4,2026-02-11,2026-03-11,5
NIFTY,5,2026-03-18,2026-04-15,5
NIFTY,6,2026-04-22,2026-05-20,5
SENSEX,1,2025-10-03,2025-11-07,5
SENSEX,2,2025-11-14,2025-12-12,5
SENSEX,3,2025-12-19,2026-01-23,5
SENSEX,4,2026-02-06,2026-03-06,5
SENSEX,5,2026-03-13,2026-04-17,4
SENSEX,6,2026-04-24,2026-05-22,4
