ticker,leg,side,option_type,expiry,strike,entry_date,exit_date,monthly_expiry,weekly_expiry,scheduled_entry_date,spot,atm_strike,spot_timestamp,entry_timestamp,entry_close,entry_volume,entry_oi,entry_source,exit_timestamp,exit_close,exit_volume,exit_oi,exit_source,entry_available,exit_available,lot_size,entry_exec,exit_exec,leg_pnl,new_leg,new_side,expected_option_type,expected_strike,mapping_ok,strategy_id,strike_mapping
SENSEX,L1_SELL_MONTHLY_ATM_PE,SELL,PE,2025-10-30,80800.0,2025-10-03,2025-10-09,2025-10-30,2025-10-09,2025-10-03,80787.08,80800.0,2025-10-03 09:30:00+05:30,2025-10-03 09:30:00+05:30,652.7,100.0,4920.0,upstox_expired,2025-10-09 15:15:00+05:30,215.35,0.0,7080.0,upstox_expired,True,True,20,649.4365,216.42674999999997,8660.195000000002,L1_SELL_MONTHLY_ATM_PE,SELL,PE,80800.0,True,current_uploaded_screenshot,PASS
SENSEX,L3_BUY_WEEKLY_ATM_PLUS_2_PE,BUY,PE,2025-10-09,81000.0,2025-10-03,2025-10-09,2025-10-30,2025-10-09,2025-10-03,80787.08,80800.0,2025-10-03 09:30:00+05:30,2025-10-03 09:30:00+05:30,409.1,67780.0,553240.0,upstox_expired,2025-10-09 15:15:00+05:30,0.15,134540.0,2554740.0,upstox_expired,True,True,20,411.14549999999997,0.14925,-8219.925,L3_BUY_WEEKLY_ATM_PLUS_2_PE,BUY,PE,81000.0,True,current_uploaded_screenshot,PASS
SENSEX,L4_SELL_WEEKLY_ATM_CE,SELL,CE,2025-10-09,80800.0,2025-10-03,2025-10-09,2025-10-30,2025-10-09,2025-10-03,80787.08,80800.0,2025-10-03 09:30:00+05:30,2025-10-03 09:30:00+05:30,418.6,69520.0,300940.0,upstox_expired,2025-10-09 15:15:00+05:30,1362.05,300.0,20700.0,upstox_expired,True,True,20,416.507,1368.8602499999997,-19047.064999999995,L4_SELL_WEEKLY_ATM_CE,SELL,CE,80800.0,True,current_uploaded_screenshot,PASS
SENSEX,L2_BUY_MONTHLY_ATM_MINUS_2_CE,BUY,CE,2025-10-30,80600.0,2025-10-03,2025-10-09,2025-10-30,2025-10-09,2025-10-03,80787.08,80800.0,2025-10-03 09:30:00+05:30,2025-10-03 09:30:00+05:30,1330.0,0.0,540.0,upstox_expired,2025-10-09 15:15:00+05:30,2050.0,0.0,520.0,upstox_expired,True,True,20,1336.6499999999999,2039.75,14062.000000000004,L2_BUY_MONTHLY_ATM_MINUS_2_CE,BUY,CE,80600.0,True,current_uploaded_screenshot,PASS
SENSEX,L1_SELL_MONTHLY_ATM_PE,SELL,PE,2025-10-30,83500.0,2025-10-17,2025-10-23,2025-10-30,2025-10-23,2025-10-17,83531.01,83500.0,2025-10-17 09:30:00+05:30,2025-10-17 09:30:00+05:30,535.0,3180.0,47380.0,upstox_expired,2025-10-23 15:15:00+05:30,123.3,7480.0,149960.0,upstox_expired,True,True,20,532.325,123.91649999999998,8168.170000000001,L1_SELL_MONTHLY_ATM_PE,SELL,PE,83500.0,True,current_uploaded_screenshot,PASS
SENSEX,L3_BUY_WEEKLY_ATM_PLUS_2_PE,BUY,PE,2025-10-23,83700.0,2025-10-17,2025-10-23,2025-10-30,2025-10-23,2025-10-17,83531.01,83500.0,2025-10-17 09:30:00+05:30,2025-10-17 09:30:00+05:30,432.95,34360.0,73840.0,upstox_expired,2025-10-23 15:15:00+05:30,0.5,218700.0,696160.0,upstox_expired,True,True,20,435.11474999999996,0.4975,-8692.345,L3_BUY_WEEKLY_ATM_PLUS_2_PE,BUY,PE,83700.0,True,current_uploaded_screenshot,PASS
SENSEX,L4_SELL_WEEKLY_ATM_CE,SELL,CE,2025-10-23,83500.0,2025-10-17,2025-10-23,2025-10-30,2025-10-23,2025-10-17,83531.01,83500.0,2025-10-17 09:30:00+05:30,2025-10-17 09:30:00+05:30,476.85,247280.0,589200.0,upstox_expired,2025-10-23 15:15:00+05:30,1028.55,1700.0,107220.0,upstox_expired,True,True,20,474.46575,1033.69275,-11184.539999999997,L4_SELL_WEEKLY_ATM_CE,SELL,CE,83500.0,True,current_uploaded_screenshot,PASS
SENSEX,L2_BUY_MONTHLY_ATM_MINUS_2_CE,BUY,CE,2025-10-30,83300.0,2025-10-17,2025-10-23,2025-10-30,2025-10-23,2025-10-17,83531.01,83500.0,2025-10-17 09:30:00+05:30,2025-10-17 09:30:00+05:30,884.0,380.0,8380.0,upstox_expired,2025-10-23 15:15:00+05:30,1581.65,20.0,6560.0,upstox_expired,True,True,20,888.42,1573.7417500000001,13706.435000000003,L2_BUY_MONTHLY_ATM_MINUS_2_CE,BUY,CE,83300.0,True,current_uploaded_screenshot,PASS
SENSEX,L1_SELL_MONTHLY_ATM_PE,SELL,PE,2025-10-30,84500.0,2025-10-24,2025-10-30,2025-10-30,2025-10-30,2025-10-24,84501.84,84500.0,2025-10-24 09:30:00+05:30,2025-10-24 09:30:00+05:30,396.35,92920.0,666470.0,upstox_expired,2025-10-30 15:15:00+05:30,91.75,2154840.0,3168740.0,upstox_expired,True,True,20,394.36825000000005,92.20875,6043.1900000000005,L1_SELL_MONTHLY_ATM_PE,SELL,PE,84500.0,True,current_uploaded_screenshot,PASS
SENSEX,L3_BUY_WEEKLY_ATM_PLUS_2_PE,BUY,PE,2025-10-30,84700.0,2025-10-24,2025-10-30,2025-10-30,2025-10-30,2025-10-24,84501.84,84500.0,2025-10-24 09:30:00+05:30,2025-10-24 09:30:00+05:30,482.95,24220.0,174820.0,upstox_expired,2025-10-30 15:15:00+05:30,291.35,116480.0,768000.0,upstox_expired,True,True,20,485.36474999999996,289.89325,-3909.4299999999985,L3_BUY_WEEKLY_ATM_PLUS_2_PE,BUY,PE,84700.0,True,current_uploaded_screenshot,PASS
SENSEX,L4_SELL_WEEKLY_ATM_CE,SELL,CE,2025-10-30,84500.0,2025-10-24,2025-10-30,2025-10-30,2025-10-30,2025-10-24,84501.84,84500.0,2025-10-24 09:30:00+05:30,2025-10-24 09:30:00+05:30,585.0,86840.0,384620.0,upstox_expired,2025-10-30 15:15:00+05:30,0.65,3629600.0,8659100.0,upstox_expired,True,True,20,582.075,0.65325,11628.435000000001,L4_SELL_WEEKLY_ATM_CE,SELL,CE,84500.0,True,current_uploaded_screenshot,PASS
SENSEX,L2_BUY_MONTHLY_ATM_MINUS_2_CE,BUY,CE,2025-10-30,84300.0,2025-10-24,2025-10-30,2025-10-30,2025-10-30,2025-10-24,84501.84,84500.0,2025-10-24 09:30:00+05:30,2025-10-24 09:30:00+05:30,713.8,4960.0,50380.0,upstox_expired,2025-10-30 15:15:00+05:30,109.15,1227700.0,1634480.0,upstox_expired,True,True,20,717.3689999999999,108.60425000000001,-12175.294999999998,L2_BUY_MONTHLY_ATM_MINUS_2_CE,BUY,CE,84300.0,True,current_uploaded_screenshot,PASS
SENSEX,L1_SELL_MONTHLY_ATM_PE,SELL,PE,2025-11-27,84600.0,2025-10-31,2025-11-06,2025-11-27,2025-11-06,2025-10-31,84586.64,84600.0,2025-10-31 09:30:00+05:30,2025-10-31 09:30:00+05:30,797.45,200.0,1100.0,upstox_expired,2025-11-06 15:15:00+05:30,1263.3,0.0,820.0,upstox_expired,True,True,20,793.46275,1269.6164999999999,-9523.074999999997,L1_SELL_MONTHLY_ATM_PE,SELL,PE,84600.0,True,current_uploaded_screenshot,PASS
SENSEX,L3_BUY_WEEKLY_ATM_PLUS_2_PE,BUY,PE,2025-11-06,84800.0,2025-10-31,2025-11-06,2025-11-27,2025-11-06,2025-10-31,84586.64,84600.0,2025-10-31 09:30:00+05:30,2025-10-31 09:30:00+05:30,483.5,19100.0,88700.0,upstox_expired,2025-11-06 15:15:00+05:30,1511.05,120.0,39380.0,upstox_expired,True,True,20,485.91749999999996,1503.4947499999998,20351.545,L3_BUY_WEEKLY_ATM_PLUS_2_PE,BUY,PE,84800.0,True,current_uploaded_screenshot,PASS
SENSEX,L4_SELL_WEEKLY_ATM_CE,SELL,CE,2025-11-06,84600.0,2025-10-31,2025-11-06,2025-11-27,2025-11-06,2025-10-31,84586.64,84600.0,2025-10-31 09:30:00+05:30,2025-10-31 09:30:00+05:30,535.0,110640.0,362360.0,upstox_expired,2025-11-06 15:15:00+05:30,0.05,103680.0,835520.0,upstox_expired,True,True,20,532.325,0.050249999999999996,10645.495,L4_SELL_WEEKLY_ATM_CE,SELL,CE,84600.0,True,current_uploaded_screenshot,PASS
SENSEX,L2_BUY_MONTHLY_ATM_MINUS_2_CE,BUY,CE,2025-11-27,84400.0,2025-10-31,2025-11-06,2025-11-27,2025-11-06,2025-10-31,84586.64,84600.0,2025-10-31 09:30:00+05:30,2025-10-31 09:30:00+05:30,1448.3,0.0,220.0,upstox_expired,2025-11-06 15:15:00+05:30,548.65,40.0,2700.0,upstox_expired,True,True,20,1455.5414999999998,545.90675,-18192.694999999996,L2_BUY_MONTHLY_ATM_MINUS_2_CE,BUY,CE,84400.0,True,current_uploaded_screenshot,PASS
SENSEX,L1_SELL_MONTHLY_ATM_PE,SELL,PE,2025-11-27,82700.0,2025-11-07,2025-11-13,2025-11-27,2025-11-13,2025-11-07,82731.84,82700.0,2025-11-07 09:30:00+05:30,2025-11-07 09:30:00+05:30,669.7,20.0,1280.0,upstox_expired,2025-11-13 15:15:00+05:30,160.3,40.0,2540.0,upstox_expired,True,True,20,666.3515,161.1015,10105.0,L1_SELL_MONTHLY_ATM_PE,SELL,PE,82700.0,True,current_uploaded_screenshot,PASS
SENSEX,L3_BUY_WEEKLY_ATM_PLUS_2_PE,BUY,PE,2025-11-13,82900.0,2025-11-07,2025-11-13,2025-11-27,2025-11-13,2025-11-07,82731.84,82700.0,2025-11-07 09:30:00+05:30,2025-11-07 09:30:00+05:30,475.35,45220.0,198180.0,upstox_expired,2025-11-13 15:15:00+05:30,0.15,176500.0,1004960.0,upstox_expired,True,True,20,477.72675,0.14925,-9551.55,L3_BUY_WEEKLY_ATM_PLUS_2_PE,BUY,PE,82900.0,True,current_uploaded_screenshot,PASS
SENSEX,L4_SELL_WEEKLY_ATM_CE,SELL,CE,2025-11-13,82700.0,2025-11-07,2025-11-13,2025-11-27,2025-11-13,2025-11-07,82731.84,82700.0,2025-11-07 09:30:00+05:30,2025-11-07 09:30:00+05:30,525.15,29500.0,123640.0,upstox_expired,2025-11-13 15:15:00+05:30,1803.45,540.0,24660.0,upstox_expired,True,True,20,522.5242499999999,1812.46725,-25798.86,L4_SELL_WEEKLY_ATM_CE,SELL,CE,82700.0,True,current_uploaded_screenshot,PASS
SENSEX,L2_BUY_MONTHLY_ATM_MINUS_2_CE,BUY,CE,2025-11-27,82500.0,2025-11-07,2025-11-13,2025-11-27,2025-11-13,2025-11-07,82731.84,82700.0,2025-11-07 09:30:00+05:30,2025-11-07 09:30:00+05:30,1250.0,20.0,260.0,upstox_expired,2025-11-13 15:15:00+05:30,2378.4,0.0,780.0,upstox_expired,True,True,20,1256.2499999999998,2366.5080000000003,22205.16000000001,L2_BUY_MONTHLY_ATM_MINUS_2_CE,BUY,CE,82500.0,True,current_uploaded_screenshot,PASS
