ticker,scheduled_entry_date,entry_date,spot_available,skip_reason,spot,spot_timestamp,pe_atm,ce_atm
SENSEX,2025-10-03,2025-10-03,True,,80787.08,2025-10-03 09:30:00+05:30,80700.0,80800.0
SENSEX,2025-10-10,2025-10-10,False,missing_spot_0930,,,,
SENSEX,2025-10-17,2025-10-17,True,,83531.01,2025-10-17 09:30:00+05:30,83500.0,83600.0
SENSEX,2025-10-24,2025-10-24,True,,84501.84,2025-10-24 09:30:00+05:30,84500.0,84600.0
SENSEX,2025-10-31,2025-10-31,True,,84586.64,2025-10-31 09:30:00+05:30,84500.0,84600.0
SENSEX,2025-11-07,2025-11-07,True,,82731.84,2025-11-07 09:30:00+05:30,82700.0,82800.0
SENSEX,2025-11-14,2025-11-14,True,,84293.16,2025-11-14 09:30:00+05:30,84200.0,84300.0
SENSEX,2025-11-21,2025-11-21,True,,85523.83,2025-11-21 09:30:00+05:30,85500.0,85600.0
SENSEX,2025-11-28,2025-11-28,True,,85784.38,2025-11-28 09:30:00+05:30,85700.0,85800.0
SENSEX,2025-12-05,2025-12-05,True,,85244.76,2025-12-05 09:30:00+05:30,85200.0,85300.0
SENSEX,2025-12-12,2025-12-12,True,,85234.93,2025-12-12 09:30:00+05:30,85200.0,85300.0
SENSEX,2025-12-19,2025-12-19,True,,84995.89,2025-12-19 09:30:00+05:30,84900.0,85000.0
SENSEX,2025-12-26,2025-12-26,True,,85344.02,2025-12-26 09:30:00+05:30,85300.0,85400.0
SENSEX,2026-01-02,2026-01-02,True,,85368.57,2026-01-02 09:30:00+05:30,85300.0,85400.0
SENSEX,2026-01-09,2026-01-09,True,,84113.54,2026-01-09 09:30:00+05:30,84100.0,84200.0
SENSEX,2026-01-16,2026-01-16,True,,83643.94,2026-01-16 09:30:00+05:30,83600.0,83700.0
SENSEX,2026-01-23,2026-01-23,True,,82404.22,2026-01-23 09:30:00+05:30,82400.0,82500.0
SENSEX,2026-01-30,2026-01-30,True,,81996.12,2026-01-30 09:30:00+05:30,81900.0,82000.0
SENSEX,2026-02-06,2026-02-06,True,,83101.87,2026-02-06 09:30:00+05:30,83100.0,83200.0
SENSEX,2026-02-13,2026-02-13,True,,82921.27,2026-02-13 09:30:00+05:30,82900.0,83000.0
SENSEX,2026-02-20,2026-02-20,True,,82348.87,2026-02-20 09:30:00+05:30,82300.0,82400.0
SENSEX,2026-02-27,2026-02-27,True,,81897.18,2026-02-27 09:30:00+05:30,81800.0,81900.0
SENSEX,2026-03-06,2026-03-06,True,,79669.59,2026-03-06 09:30:00+05:30,79600.0,79700.0
SENSEX,2026-03-13,2026-03-13,True,,75512.82,2026-03-13 09:30:00+05:30,75500.0,75600.0
SENSEX,2026-03-20,2026-03-20,True,,75083.46,2026-03-20 09:30:00+05:30,75000.0,75100.0
SENSEX,2026-03-27,2026-03-27,True,,74337.59,2026-03-27 09:30:00+05:30,74300.0,74400.0
SENSEX,2026-04-03,2026-04-02,True,,71773.95,2026-04-02 09:30:00+05:30,71700.0,71800.0
SENSEX,2026-04-10,2026-04-10,True,,77154.97,2026-04-10 09:30:00+05:30,77100.0,77200.0
SENSEX,2026-04-17,2026-04-17,True,,78084.96,2026-04-17 09:30:00+05:30,78000.0,78100.0
SENSEX,2026-04-24,2026-04-24,True,,77172.87,2026-04-24 09:30:00+05:30,77100.0,77200.0
SENSEX,2026-05-01,2026-04-30,True,,76517.11,2026-04-30 09:30:00+05:30,76500.0,76600.0
SENSEX,2026-05-08,2026-05-08,True,,77525.32,2026-05-08 09:30:00+05:30,77500.0,77600.0
SENSEX,2026-05-15,2026-05-15,True,,75616.91,2026-05-15 09:30:00+05:30,75600.0,75700.0
SENSEX,2026-05-22,2026-05-22,True,,75546.11,2026-05-22 09:30:00+05:30,75500.0,75600.0
