ticker,leg,side,option_type,expiry,strike,entry_date,weekly_expiry,monthly_expiry,scheduled_entry_date,spot,pe_atm,ce_atm,leg4_itm_strikes,spot_timestamp,entry_timestamp,entry_close,exit_timestamp,exit_close,entry_available,exit_available
SENSEX,L1,BUY,PE,2025-10-30,80700.0,2025-10-03,2025-10-09,2025-10-30,2025-10-03,80787.08,80700.0,80800.0,1,2025-10-03 09:30:00+05:30,2025-10-03 09:30:00+05:30,611.0,2025-10-09 15:15:00+05:30,213.75,True,True
SENSEX,L2,SELL,PE,2025-10-09,81100.0,2025-10-03,2025-10-09,2025-10-30,2025-10-03,80787.08,80700.0,80800.0,1,2025-10-03 09:30:00+05:30,2025-10-03 09:30:00+05:30,465.0,2025-10-09 15:15:00+05:30,0.15,True,True
SENSEX,L3,BUY,CE,2025-10-09,80800.0,2025-10-03,2025-10-09,2025-10-30,2025-10-03,80787.08,80700.0,80800.0,1,2025-10-03 09:30:00+05:30,2025-10-03 09:30:00+05:30,418.6,2025-10-09 15:15:00+05:30,1362.05,True,True
SENSEX,L4,SELL,CE,2025-10-30,80700.0,2025-10-03,2025-10-09,2025-10-30,2025-10-03,80787.08,80700.0,80800.0,1,2025-10-03 09:30:00+05:30,2025-10-03 09:30:00+05:30,1226.25,,,True,False
SENSEX,L1,BUY,PE,2025-10-30,83500.0,2025-10-17,2025-10-23,2025-10-30,2025-10-17,83531.01,83500.0,83600.0,1,2025-10-17 09:30:00+05:30,2025-10-17 09:30:00+05:30,535.0,2025-10-23 15:15:00+05:30,123.3,True,True
SENSEX,L2,SELL,PE,2025-10-23,83900.0,2025-10-17,2025-10-23,2025-10-30,2025-10-17,83531.01,83500.0,83600.0,1,2025-10-17 09:30:00+05:30,2025-10-17 09:30:00+05:30,542.8,2025-10-23 15:15:00+05:30,0.75,True,True
SENSEX,L3,BUY,CE,2025-10-23,83600.0,2025-10-17,2025-10-23,2025-10-30,2025-10-17,83531.01,83500.0,83600.0,1,2025-10-17 09:30:00+05:30,2025-10-17 09:30:00+05:30,420.55,2025-10-23 15:15:00+05:30,932.7,True,True
SENSEX,L4,SELL,CE,2025-10-30,83500.0,2025-10-17,2025-10-23,2025-10-30,2025-10-17,83531.01,83500.0,83600.0,1,2025-10-17 09:30:00+05:30,2025-10-17 09:30:00+05:30,780.0,2025-10-23 15:15:00+05:30,1392.15,True,True
SENSEX,L1,BUY,PE,2025-10-30,84500.0,2025-10-24,2025-10-30,2025-10-30,2025-10-24,84501.84,84500.0,84600.0,1,2025-10-24 09:30:00+05:30,2025-10-24 09:30:00+05:30,396.35,2025-10-30 15:15:00+05:30,91.75,True,True
SENSEX,L2,SELL,PE,2025-10-30,84900.0,2025-10-24,2025-10-30,2025-10-30,2025-10-24,84501.84,84500.0,84600.0,1,2025-10-24 09:30:00+05:30,2025-10-24 09:30:00+05:30,583.9,2025-10-30 15:15:00+05:30,490.8,True,True
SENSEX,L3,BUY,CE,2025-10-30,84600.0,2025-10-24,2025-10-30,2025-10-30,2025-10-24,84501.84,84500.0,84600.0,1,2025-10-24 09:30:00+05:30,2025-10-24 09:30:00+05:30,530.1,2025-10-30 15:15:00+05:30,0.45,True,True
