ticker,entry_date,weekly_expiry,monthly_expiry,leg4_itm_strikes,gross_pnl,fixed_cost,net_pnl
SENSEX,2025-10-17,2025-10-23,2025-10-30,1,134.27499999999964,160.0,-25.725000000000364
SENSEX,2025-10-24,2025-10-30,2025-10-30,1,-3403.899999999998,160.0,-3563.899999999998
SENSEX,2025-10-31,2025-11-06,2025-11-27,1,-5519.994999999995,160.0,-5679.994999999995
SENSEX,2025-11-14,2025-11-20,2025-11-27,1,3350.4650000000074,160.0,3190.4650000000074
SENSEX,2025-11-21,2025-11-27,2025-11-27,1,-763.0749999999953,160.0,-923.0749999999953
SENSEX,2025-11-28,2025-12-04,2025-12-24,1,-2889.7199999999975,160.0,-3049.7199999999975
SENSEX,2025-12-05,2025-12-11,2025-12-24,1,-1974.189999999995,160.0,-2134.189999999995
SENSEX,2025-12-12,2025-12-18,2025-12-24,1,-2868.889999999996,160.0,-3028.889999999996
SENSEX,2025-12-19,2025-12-24,2025-12-24,1,2807.6900000000023,160.0,2647.6900000000023
SENSEX,2025-12-26,2026-01-01,2026-01-29,1,-7088.28,160.0,-7248.28
SENSEX,2026-01-02,2026-01-08,2026-01-29,1,-3607.1699999999873,160.0,-3767.1699999999873
SENSEX,2026-01-16,2026-01-22,2026-01-29,1,-5570.810000000001,160.0,-5730.810000000001
SENSEX,2026-01-23,2026-01-29,2026-01-29,1,-1330.854999999996,160.0,-1490.854999999996
SENSEX,2026-01-30,2026-02-05,2026-02-26,1,7409.545000000007,160.0,7249.545000000007
SENSEX,2026-02-06,2026-02-12,2026-02-26,1,4982.980000000005,160.0,4822.980000000005
SENSEX,2026-02-13,2026-02-19,2026-02-26,1,-780.3749999999973,160.0,-940.3749999999973
SENSEX,2026-02-20,2026-02-26,2026-02-26,1,-3205.414999999999,160.0,-3365.414999999999
SENSEX,2026-02-27,2026-03-05,2026-03-25,1,2699.5250000000087,160.0,2539.5250000000087
SENSEX,2026-03-06,2026-03-12,2026-03-25,1,-18114.91499999999,160.0,-18274.91499999999
SENSEX,2026-03-13,2026-03-19,2026-03-25,1,-1458.8699999999917,160.0,-1618.8699999999917
SENSEX,2026-03-20,2026-03-25,2026-03-25,1,456.85000000000036,160.0,296.85000000000036
SENSEX,2026-04-10,2026-04-16,2026-04-30,1,8107.510000000006,160.0,7947.510000000006
SENSEX,2026-04-17,2026-04-23,2026-04-30,1,-1499.4599999999973,160.0,-1659.4599999999973
SENSEX,2026-04-24,2026-04-30,2026-04-30,1,-3256.6899999999987,160.0,-3416.6899999999987
SENSEX,2026-04-30,2026-05-07,2026-05-27,1,-654.4549999999927,160.0,-814.4549999999927
SENSEX,2026-05-08,2026-05-14,2026-05-27,1,-4166.844999999994,160.0,-4326.844999999994
SENSEX,2026-05-15,2026-05-21,2026-05-27,1,-5.649999999994179,160.0,-165.64999999999418
SENSEX,2026-05-22,2026-05-27,2026-05-27,1,1926.185000000005,160.0,1766.185000000005
