trades,net_pnl,roc_pct,win_rate_pct,expectancy,max_drawdown,max_drawdown_pct,ticker,leg4_itm_strikes,target_cycles,complete_cycles,strategy_id
35,-92270.1304999997,-61.51342033333312,31.428571428571427,-2636.289442857134,-96271.2242499997,-62.513337993743754,NIFTY,1,35,35,screenshot_exact
35,-81295.95799999968,-54.19730533333313,31.428571428571427,-2322.741657142848,-84323.7392499997,-55.10354953930935,NIFTY,2,35,35,screenshot_leg4_alt2
28,-40764.53499999987,-27.176356666666578,28.57142857142857,-1455.8762499999955,-42504.99499999988,-28.34152390468291,SENSEX,1,34,28,screenshot_exact
28,-53295.89299999989,-35.53059533333326,28.57142857142857,-1903.424749999996,-59302.3079999999,-38.25561815592577,SENSEX,2,34,28,screenshot_leg4_alt2
