ticker,entry_date,weekly_expiry,monthly_expiry,leg4_itm_strikes,gross_pnl,fixed_cost,net_pnl
NIFTY,2025-10-01,2025-10-07,2025-10-28,1,4161.093750000007,160.0,4001.0937500000073
NIFTY,2025-10-08,2025-10-14,2025-10-28,1,-5399.456249999992,160.0,-5559.456249999992
NIFTY,2025-10-15,2025-10-20,2025-10-28,1,2001.4500000000116,160.0,1841.4500000000116
NIFTY,2025-10-20,2025-10-28,2025-10-28,1,-2447.2124999999905,160.0,-2607.2124999999905
NIFTY,2025-10-29,2025-11-04,2025-11-25,1,-7241.118749999987,160.0,-7401.118749999987
NIFTY,2025-11-04,2025-11-11,2025-11-25,1,-8274.487499999988,160.0,-8434.487499999988
NIFTY,2025-11-12,2025-11-18,2025-11-25,1,2890.06875000001,160.0,2730.06875000001
NIFTY,2025-11-19,2025-11-25,2025-11-25,1,-4931.0625,160.0,-5091.0625
NIFTY,2025-11-26,2025-12-02,2025-12-30,1,-8367.22499999999,160.0,-8527.22499999999
NIFTY,2025-12-03,2025-12-09,2025-12-30,1,-6668.324999999995,160.0,-6828.324999999995
NIFTY,2025-12-10,2025-12-16,2025-12-30,1,-6245.864999999993,160.0,-6405.864999999993
NIFTY,2025-12-17,2025-12-23,2025-12-30,1,6328.800000000008,160.0,6168.800000000008
NIFTY,2025-12-24,2025-12-30,2025-12-30,1,-4787.999999999996,160.0,-4947.999999999996
NIFTY,2025-12-31,2026-01-06,2026-01-27,1,3776.5650000000087,160.0,3616.5650000000087
NIFTY,2026-01-07,2026-01-13,2026-01-27,1,-3058.555499999984,160.0,-3218.555499999984
NIFTY,2026-01-14,2026-01-20,2026-01-27,1,-3889.5837499999907,160.0,-4049.5837499999907
NIFTY,2026-01-21,2026-01-27,2026-01-27,1,-5241.339999999993,160.0,-5401.339999999993
NIFTY,2026-01-28,2026-02-03,2026-02-24,1,4410.981250000003,160.0,4250.981250000003
NIFTY,2026-02-04,2026-02-10,2026-02-24,1,4939.902500000004,160.0,4779.902500000004
NIFTY,2026-02-11,2026-02-17,2026-02-24,1,-3701.246249999991,160.0,-3861.246249999991
NIFTY,2026-02-18,2026-02-24,2026-02-24,1,-4346.029999999997,160.0,-4506.029999999997
NIFTY,2026-02-25,2026-03-02,2026-03-30,1,-6549.854999999992,160.0,-6709.854999999992
NIFTY,2026-03-04,2026-03-10,2026-03-30,1,-8008.43874999999,160.0,-8168.43874999999
NIFTY,2026-03-11,2026-03-17,2026-03-30,1,-4530.5,160.0,-4690.5
NIFTY,2026-03-18,2026-03-24,2026-03-30,1,-4134.66624999998,160.0,-4294.66624999998
NIFTY,2026-03-25,2026-03-30,2026-03-30,1,-5851.283749999984,160.0,-6011.283749999984
NIFTY,2026-04-01,2026-04-07,2026-04-28,1,6754.361250000013,160.0,6594.361250000013
NIFTY,2026-04-08,2026-04-13,2026-04-28,1,-4580.549999999993,160.0,-4740.549999999993
NIFTY,2026-04-15,2026-04-21,2026-04-28,1,5179.41125000001,160.0,5019.41125000001
NIFTY,2026-04-22,2026-04-28,2026-04-28,1,-5235.343749999989,160.0,-5395.343749999989
NIFTY,2026-04-29,2026-05-05,2026-05-26,1,-6632.177499999989,160.0,-6792.177499999989
NIFTY,2026-05-06,2026-05-12,2026-05-26,1,-6569.826249999991,160.0,-6729.826249999991
NIFTY,2026-05-13,2026-05-19,2026-05-26,1,6686.907500000008,160.0,6526.907500000008
NIFTY,2026-05-20,2026-05-26,2026-05-26,1,4813.900000000007,160.0,4653.900000000007
NIFTY,2026-05-27,2026-06-02,2026-06-30,1,-11921.42249999999,160.0,-12081.42249999999
