ticker,cpcv_combinations,positive_test_net_pnl_pct,median_test_mean_pnl,q25_test_mean_pnl,q75_test_mean_pnl,median_test_sharpe
NIFTY,15,6.666666666666667,-1527.8690416666623,-1984.694034090902,-514.2183589015099,-0.4289460410858999
SENSEX,15,20.0,-1008.259999999996,-1911.7559499999961,-720.2255555555502,-0.583275746748017
