ticker,test_block_1,test_block_2,purged_train_blocks,train_trades,train_net_pnl,train_mean_pnl,train_win_rate_pct,train_std_pnl,train_trade_sharpe,test_trades,test_net_pnl,test_mean_pnl,test_win_rate_pct,test_std_pnl,test_trade_sharpe
NIFTY,1,2,"0,1,2,3",15,-15287.712499999881,-1019.1808333333254,33.33333333333333,3115.2745387684613,-0.3271560245012084,12,-34716.221249999915,-2893.018437499993,25.0,3319.644550138884,-0.8714843995508368
NIFTY,1,3,"0,1,2,3,4",10,-4311.052499999911,-431.1052499999911,40.0,3254.6996682269914,-0.13245623066500545,12,-18334.428499999947,-1527.8690416666623,33.33333333333333,3077.4666286168467,-0.4964697350279168
NIFTY,1,4,"0,1,2,3,4,5",5,-6340.664999999961,-1268.132999999992,20.0,3701.7670766633105,-0.3425750388225557,11,-34492.441249999945,-3135.6764772727224,9.090909090909092,2538.2733180349946,-1.2353580896876022
NIFTY,1,5,"0,1,2,4,5,6",6,5181.35275000002,863.55879166667,66.66666666666666,1370.0696658093816,0.6303028329267581,11,-21486.168749999924,-1953.2880681818112,27.27272727272727,3327.2496613489025,-0.5870578606926441
NIFTY,1,6,"0,1,2,5,6,7",11,-5795.30724999995,-526.8461136363591,45.45454545454545,2550.6962817427348,-0.20654992027368987,11,-29856.446249999928,-2714.22238636363,9.090909090909092,3164.6113124302806,-0.8576795436780601
NIFTY,2,3,"1,2,3,4",10,-4311.052499999911,-431.1052499999911,40.0,3254.6996682269914,-0.13245623066500545,12,-6019.08724999993,-501.5906041666608,58.333333333333336,3221.5790757637574,-0.15569712627579876
NIFTY,2,4,"1,2,3,4,5",5,-6340.664999999961,-1268.132999999992,20.0,3701.7670766633105,-0.3425750388225557,11,-22177.099999999922,-2016.0999999999929,36.36363636363637,3359.5563909973657,-0.6001089921879432
NIFTY,2,5,"1,2,3,4,5,6",0,,,,,,11,-9170.827499999901,-833.7115909090819,54.54545454545454,3605.8389684772965,-0.23121154277756018
NIFTY,2,6,"1,2,3,5,6,7",5,-10976.65999999997,-2195.331999999994,20.0,2745.7458095201287,-0.7995394156255382,11,-17541.104999999912,-1594.6459090909011,36.36363636363637,3717.590923683477,-0.4289460410858999
NIFTY,3,4,"2,3,4,5",11,-29856.446249999928,-2714.22238636363,9.090909090909092,3164.6113124302806,-0.8576795436780601,11,-5795.30724999995,-526.8461136363591,45.45454545454545,2550.6962817427348,-0.20654992027368987
NIFTY,3,5,"2,3,4,5,6",6,-23515.781249999967,-3919.2968749999945,0.0,2287.6289000798324,-1.713257283496996,11,7210.96525000007,655.5422954545519,63.63636363636363,2085.084811332259,0.3143959861448969
NIFTY,3,6,"2,3,4,5,6,7",6,-23515.781249999967,-3919.2968749999945,0.0,2287.6289000798324,-1.713257283496996,11,-1159.312249999939,-105.39202272726719,45.45454545454545,2767.5042798659333,-0.038081972806333915
NIFTY,4,5,"3,4,5,6",12,-34716.221249999915,-2893.018437499993,25.0,3319.644550138884,-0.8714843995508368,10,-8947.04749999992,-894.704749999992,40.0,2992.4339685920613,-0.2989889699791605
NIFTY,4,6,"3,4,5,6,7",12,-34716.221249999915,-2893.018437499993,25.0,3319.644550138884,-0.8714843995508368,10,-17317.32499999993,-1731.7324999999933,20.0,3111.2348946192055,-0.5566061575726656
NIFTY,5,6,"4,5,6,7",18,-29534.868499999902,-1640.8260277777724,38.88888888888889,3317.098162130514,-0.4946570609547167,10,-4311.052499999911,-431.1052499999911,40.0,3254.6996682269914,-0.13245623066500545
